Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Casa Ryda,2024-06-18 22:07:59,00:30:53,,"Perfect Match: Season 2: He Said, She Said (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:49:17,Not latest view,ES (Spain)
Casa Ryda,2024-06-17 22:38:40,00:02:13,,Limited Series Trailer: Eric,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:02:13,00:02:13,ES (Spain)
Casa Ryda,2024-06-17 21:48:59,00:48:22,,Perfect Match: Season 2: To Tell the Truth (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:48:28,Not latest view,ES (Spain)
Casa Ryda,2024-06-17 20:58:26,00:49:43,,"Perfect Match: Season 2: He Said, She Said (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:49:14,Not latest view,ES (Spain)
Casa Ryda,2024-06-17 20:02:49,00:53:10,,Perfect Match: Season 2: Love Is Blindfolded (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:54:05,00:54:05,ES (Spain)
Casa Ryda,2024-06-17 19:47:57,00:14:51,,Perfect Match: Season 2: Seeing Eye to Eye (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:55:07,00:55:07,ES (Spain)
Casa Ryda,2024-06-17 19:08:27,00:35:23,,Perfect Match: Season 2: Seeing Eye to Eye (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:16,Not latest view,ES (Spain)
Casa Ryda,2024-06-15 20:47:28,00:41:32,,Perfect Match: Season 2: Shakeups & Breakups (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:53,00:43:53,ES (Spain)
Casa Ryda,2024-06-15 20:45:00,00:02:21,,Perfect Match: Season 2: Truth Bombs (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:22,00:43:22,ES (Spain)
Casa Ryda,2024-06-15 11:52:14,00:00:04,Autoplayed: user action: None; ,Express: Season 1_hook_01_16x9,HOOK,iPhone 12 Pro Max,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-14 19:51:00,00:19:55,,"Perfect Match: Season 2: He Said, She Said (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:20:01,Not latest view,ES (Spain)
Casa Ryda,2024-06-14 18:41:31,01:08:41,,Perfect Match: Season 2: Love Is Blindfolded (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:57:23,Not latest view,ES (Spain)
Casa Ryda,2024-06-14 18:41:09,00:00:04,Autoplayed: user action: None; ,Season 2 Cliffhanger Clip 3: King of Collectibles: The Goldin Touch,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-14 08:17:11,00:32:39,,Bridgerton: Season 3: Into the Light (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,01:07:00,01:07:00,ES (Spain)
Casa Ryda,2024-06-13 22:16:06,00:00:04,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip 2: Perfect Match,HOOK,Apple iPhone XS,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-13 22:16:00,00:14:03,,Perfect Match: Season 2: Truth Bombs (Episode 4),,Apple iPhone XS,00:38:29,Not latest view,ES (Spain)
Casa Ryda,2024-06-13 20:28:10,00:34:22,,Bridgerton: Season 3: Into the Light (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:30:08,Not latest view,ES (Spain)
Casa Ryda,2024-06-13 19:52:25,00:34:13,,Bridgerton: Season 3: Joining of Hands (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:57:35,00:57:35,ES (Spain)
Casa Ryda,2024-06-13 19:03:50,00:47:26,,Bridgerton: Season 3: Romancing Mister Bridgerton (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,01:03:38,01:03:38,ES (Spain)
Casa Ryda,2024-06-13 18:39:55,00:23:35,,Bridgerton: Season 3: Tick Tock (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:54:50,00:54:50,ES (Spain)
Casa Ryda,2024-06-13 12:06:12,00:27:13,,Bridgerton: Season 3: Tick Tock (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:28:50,Not latest view,ES (Spain)
Casa Ryda,2024-06-13 12:06:01,00:00:09,,Season 3 Part 1 Recap: Bridgerton,RECAP,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,ES (Spain)
Casa Ryda,2024-06-13 12:05:32,00:00:26,,Bridgerton: Season 1: Shock and Delight (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:23:43,00:23:43,ES (Spain)
Casa Ryda,2024-06-13 12:05:19,00:00:10,Autoplayed: user action: None; ,Season 3 Part 2 Moment of High Emotion Clip 2: Bridgerton,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,ES (Spain)
Casa Ryda,2024-06-12 22:23:14,00:13:32,,Perfect Match: Season 2: Truth Bombs (Episode 4),,Apple iPhone XS,00:16:20,Not latest view,ES (Spain)
Casa Ryda,2024-06-12 22:22:58,00:00:13,Autoplayed: user action: None; ,Season 2 Informative Clip: Perfect Match,HOOK,Apple iPhone XS,00:00:13,00:00:13,ES (Spain)
Casa Ryda,2024-06-12 10:56:00,00:00:07,Autoplayed: user action: None; ,Genre Specific Moment Clip: Under Paris,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,ES (Spain)
Casa Ryda,2024-06-12 10:54:32,00:01:09,Autoplayed: user action: None; ,Season 1 Trailer: The Mole,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:01:09,00:01:09,ES (Spain)
Casa Ryda,2024-06-12 10:04:23,00:49:54,,Perfect Match: Season 2: Seeing Eye to Eye (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:55:09,Not latest view,ES (Spain)
Casa Ryda,2024-06-12 09:48:19,00:15:35,,Perfect Match: Season 2: Shakeups & Breakups (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:53,Not latest view,ES (Spain)
Casa Ryda,2024-06-12 07:44:44,00:16:32,,Perfect Match: Season 2: Shakeups & Breakups (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:26:12,Not latest view,ES (Spain)
Casa Ryda,2024-06-12 07:00:48,00:43:51,,Perfect Match: Season 2: Truth Bombs (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:51,Not latest view,ES (Spain)
Casa Ryda,2024-06-11 21:37:13,00:00:07,Autoplayed: user action: None; ,Season 3 Plot Clip: Sweet Tooth,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,ES (Spain)
Casa Ryda,2024-06-11 20:49:58,00:46:05,,Perfect Match: Season 2: Chaos Theory (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:46:11,00:46:11,ES (Spain)
Casa Ryda,2024-06-11 20:08:45,00:41:08,,Perfect Match: Season 2: Kiss and Tell (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:53:11,00:53:11,ES (Spain)
Casa Ryda,2024-06-11 20:07:20,00:00:17,Autoplayed: user action: None; ,Season 2 Character Intro Clip: Tour de France: Unchained,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:17,00:00:17,ES (Spain)
Casa Ryda,2024-06-10 19:48:57,00:05:59,,Perfect Match: Season 2: Kiss and Tell (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:12:05,Not latest view,ES (Spain)
Casa Ryda,2024-06-10 19:13:29,00:34:55,,"Perfect Match: Season 2: Ready, Set, Match (Episode 1)",,Netflix Chrome MAC (Cadmium) HTML 5,00:54:12,00:54:12,ES (Spain)
Casa Ryda,2024-06-10 19:13:14,00:00:08,Autoplayed: user action: None; ,Inciting Incident Clip: Under Paris,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,ES (Spain)
Casa Ryda,2024-06-09 19:48:59,00:00:07,Autoplayed: user action: None; ,Season 2 Relatable Clip: Perfect Match,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,ES (Spain)
Casa Ryda,2024-06-09 19:46:54,00:21:54,,"Perfect Match: Season 2: Ready, Set, Match (Episode 1)",,Netflix Chrome MAC (Cadmium) HTML 5,00:22:06,Not latest view,ES (Spain)
Casa Ryda,2024-06-06 15:43:03,00:01:19,Autoplayed: user action: None; ,Season 1 Trailer: Hitler and the Nazis: Evil on Trial,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:01:19,00:01:19,ES (Spain)
Casa Ryda,2024-06-06 14:25:07,00:31:22,Autoplayed: user action: User_Interaction; ,Midsummer Night: Limited Series: Forgiveness (Episode 5),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:31:29,00:31:29,ES (Spain)
Casa Ryda,2024-06-06 14:00:18,00:24:45,,Midsummer Night: Limited Series: Reconciliation (Episode 4),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:24:50,00:24:50,ES (Spain)
Casa Ryda,2024-06-06 13:33:28,00:26:13,,Midsummer Night: Limited Series: Envy (Episode 3),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:26:18,00:26:18,ES (Spain)
Casa Ryda,2024-06-06 13:05:34,00:27:48,,Midsummer Night: Limited Series: Lust (Episode 2),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:27:53,00:27:53,ES (Spain)
Casa Ryda,2024-06-06 12:33:06,00:29:06,,Midsummer Night: Limited Series: Break-ups and Falling in Love (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:29:06,00:29:06,ES (Spain)
Casa Ryda,2024-06-06 12:32:53,00:00:10,Autoplayed: user action: None; ,Limited Series Cliffhanger Clip: Midsummer Night,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:10,00:00:10,ES (Spain)
Casa Ryda,2024-06-06 12:32:33,00:00:07,Autoplayed: user action: None; ,Season 1 Character Intro Clip 3: Buying London,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:07,00:00:07,ES (Spain)
Casa Ryda,2024-06-06 12:32:12,00:00:05,Autoplayed: user action: None; ,Comedy Clip 3: The Roast of Tom Brady,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-05 18:18:38,00:08:13,,The Roast of Tom Brady,,Netflix Chrome MAC (Cadmium) HTML 5,01:57:54,01:57:54,ES (Spain)
Casa Ryda,2024-06-05 10:24:54,00:00:06,Autoplayed: user action: None; ,Superagente Makey_hook_03_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:06,00:00:06,ES (Spain)
Casa Ryda,2024-06-05 10:23:32,00:00:31,Autoplayed: user action: None; ,Season 1 Teaser: Love is Blind Habibi,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:31,00:00:31,ES (Spain)
Casa Ryda,2024-06-05 10:17:04,00:00:15,Autoplayed: user action: None; ,Season 1 Teaser: Love is Blind Habibi,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:15,Not latest view,ES (Spain)
Casa Ryda,2024-06-05 10:16:47,00:00:04,Autoplayed: user action: None; ,Season 3 Trailer: Sweet Tooth,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-05 10:16:22,00:00:08,Autoplayed: user action: None; ,Season 2 Teaser: Perfect Match,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:08,00:00:08,ES (Spain)
Casa Ryda,2024-06-05 10:16:00,00:00:16,Autoplayed: user action: None; ,Season 2 Trailer: Tour de France: Unchained,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:16,00:00:16,ES (Spain)
Casa Ryda,2024-06-05 10:15:42,00:00:05,Autoplayed: user action: None; ,Season 1 Trailer: Joko Anwar's Nightmares and Daydreams,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-05 10:15:10,00:00:19,Autoplayed: user action: None; ,Limited Series Trailer: Eric,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:19,Not latest view,ES (Spain)
Casa Ryda,2024-06-05 09:10:58,00:23:05,,Bridgerton: Season 1: Shock and Delight (Episode 2),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:23:18,Not latest view,ES (Spain)
Casa Ryda,2024-06-05 08:15:28,00:54:36,,Bridgerton: Season 1: Diamond of the First Water (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:54:36,00:54:36,ES (Spain)
Casa Ryda,2024-06-05 08:11:26,00:03:27,,Bridgerton: Season 3: Out of the Shadows (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:03:27,00:03:27,ES (Spain)
Casa Ryda,2024-06-05 08:11:17,00:00:05,Autoplayed: user action: None; ,Season 2 Recap: Bridgerton,RECAP,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-04 20:10:17,00:11:18,,The Roast of Tom Brady,,Netflix Chrome MAC (Cadmium) HTML 5,00:49:42,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 20:08:54,00:00:15,Autoplayed: user action: None; ,Season 1 Trailer: Geek Girl,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,00:00:15,ES (Spain)
Casa Ryda,2024-06-04 16:51:43,00:33:37,,The Ultimatum: South Africa: Season 1: The Split (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:33:37,00:33:37,ES (Spain)
Casa Ryda,2024-06-04 16:51:24,00:00:10,Autoplayed: user action: None; ,Relatable Clip: The Final: Attack on Wembley,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:10,00:00:10,ES (Spain)
Casa Ryda,2024-06-04 16:50:57,00:00:22,Autoplayed: user action: None; ,Season 1 Trailer: Bodkin,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:22,00:00:22,ES (Spain)
Casa Ryda,2024-06-04 16:50:48,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: Bodkin,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 16:50:21,00:00:24,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip 2: The Ultimatum: South Africa,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:24,00:00:24,ES (Spain)
Casa Ryda,2024-06-04 16:50:13,00:00:04,Autoplayed: user action: None; ,"Season 1 Trailer: Ashley Madison: Sex, Lies & Scandal",TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 11:40:38,00:51:43,Autoplayed: user action: User_Interaction; ,Dancing for the Devil: The 7M TikTok Cult: Season 1: Part III: Reap What You Sow (Episode 3),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:47:54,00:47:54,ES (Spain)
Casa Ryda,2024-06-04 11:00:06,00:35:41,,Dancing for the Devil: The 7M TikTok Cult: Season 1: Part II: The Escape (Episode 2),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:51:46,00:51:46,ES (Spain)
Casa Ryda,2024-06-04 09:44:15,00:19:53,,Dancing for the Devil: The 7M TikTok Cult: Season 1: Part II: The Escape (Episode 2),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:19:57,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 08:45:48,00:56:38,,Dancing for the Devil: The 7M TikTok Cult: Season 1: Part I: Die to Yourself (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:56:38,00:56:38,ES (Spain)
Casa Ryda,2024-06-04 08:37:38,00:01:32,Autoplayed: user action: None; ,Dancing for the Devil: The 7M TikTok Cult: Season 1 - Baseline Clip 2,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:01:32,00:01:32,ES (Spain)
Casa Ryda,2024-06-04 08:36:59,00:00:20,Autoplayed: user action: None; ,Korean Fried Chicken Rhapsody: Limited Series_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:20,00:00:20,ES (Spain)
Casa Ryda,2024-06-04 08:36:21,00:00:34,Autoplayed: user action: None; ,Comedy Clip 7: Jo Koy: Live from Brooklyn,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:34,00:00:34,ES (Spain)
Casa Ryda,2024-06-04 08:36:03,00:00:15,Autoplayed: user action: None; ,Curso del 73: Season 1_hook_01_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:15,00:00:15,ES (Spain)
Casa Ryda,2024-06-04 08:34:58,00:00:36,Autoplayed: user action: None; ,Hacksaw Ridge_hook_04_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:36,00:00:36,ES (Spain)
Casa Ryda,2024-06-04 05:45:33,00:00:05,Autoplayed: user action: None; ,Season 1 Informative Clip: Buying London,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-04 05:45:11,00:00:13,Autoplayed: user action: None; ,Limited Series Supporting Character Clip: Eric,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:13,00:00:13,ES (Spain)
Casa Ryda,2024-06-04 05:45:02,00:00:06,Autoplayed: user action: None; ,Season 3 Main Character Clip: Bridgerton,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:06,00:00:06,ES (Spain)
Casa Ryda,2024-06-04 05:44:43,00:00:14,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: The Asunta Case,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:14,00:00:14,ES (Spain)
Casa Ryda,2024-06-04 05:44:36,00:00:05,Autoplayed: user action: None; ,Una vida menos en Canarias: Season 1_hook_02_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-04 05:44:24,00:00:04,Autoplayed: user action: None; ,Season 1 Clip (as Trailer): Raising Voices,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-04 05:44:02,00:00:19,Autoplayed: user action: None; ,Limited Series Supporting Character Clip: Eric,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:19,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 05:43:27,00:00:10,Autoplayed: user action: None; ,"Season 1 Trailer: Ashley Madison: Sex, Lies & Scandal",TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:10,Not latest view,ES (Spain)
Casa Ryda,2024-06-04 05:43:05,00:00:07,Autoplayed: user action: None; ,Season 3 Main Character Clip: Bridgerton,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:07,Not latest view,ES (Spain)
Casa Ryda,2024-05-15 19:12:02,00:49:34,,The Roast of Tom Brady,,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,02:25:47,Not latest view,ES (Spain)
Casa Ryda,2024-05-15 18:48:36,00:22:30,,The Roast of Tom Brady,,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:35:00,Not latest view,ES (Spain)
Casa Ryda,2024-05-15 14:25:45,00:11:55,,The Roast of Tom Brady,,Netflix Chrome MAC (Cadmium) HTML 5,00:48:23,Not latest view,ES (Spain)
Casa Ryda,2024-05-08 11:07:31,00:00:06,Autoplayed: user action: None; ,Tell Me Who I Am (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:06,00:00:06,ES (Spain)
Casa Ryda,2024-05-08 11:07:09,00:00:05,Autoplayed: user action: None; ,Barbarian_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-05-06 17:17:35,00:42:09,,Anthracite: Secrets of the Sect: Trust No One (Episode 3),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:42:14,00:42:14,ES (Spain)
Casa Ryda,2024-05-06 16:32:26,00:45:05,,Anthracite: Secrets of the Sect: The 13th Disciple (Episode 2),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:45:10,00:45:10,ES (Spain)
Casa Ryda,2024-05-06 16:28:39,00:03:43,Autoplayed: user action: User_Interaction; ,Anthracite: Secrets of the Sect: Still on Fire (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:47:18,00:47:18,ES (Spain)
Casa Ryda,2024-05-06 13:05:52,00:08:07,,Anthracite: Secrets of the Sect: Still on Fire (Episode 1),,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:43:39,Not latest view,ES (Spain)
Casa Ryda,2024-05-06 13:05:44,00:00:04,Autoplayed: user action: None; ,Trailer 2: Anthracite,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-05-04 05:48:33,00:00:05,Autoplayed: user action: None; ,Limited Series Trailer: A Man in Full,TRAILER,Apple iPhone XS,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-05-04 05:48:17,00:00:10,Autoplayed: user action: None; ,Trailer: Unfrosted,TRAILER,Apple iPhone XS,00:00:10,00:00:10,ES (Spain)
Casa Ryda,2024-05-02 10:28:23,00:00:06,Autoplayed: user action: None; ,Blade Runner 2049_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:06,00:00:06,ES (Spain)
Casa Ryda,2024-05-02 10:28:04,00:00:05,Autoplayed: user action: None; ,Gladiator_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-05-02 10:27:42,00:00:07,Autoplayed: user action: None; ,Rocketman_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:07,00:00:07,ES (Spain)
